ID,NOMBRE,TELEFONO,CORREO,FECHA_INGRESO,EDAD,SALARIO,ID_EMPRESA
353,Mateo Mendoza,+56 89 7366-3177,mateo.mendozalive.com,2014-11-23,29,55560.0,6
690,Bert Torres,+507 73 8501-1586,bert.torres@terra.cl,2019-10-19,23,13196.0,3
486,Jonah Vera,+593 903-986-474,jonah.vera@uol.com.br,2020-11-27,0,23455.0,6
389,Jonah Rojas,+593 25 6426-6907,jonah.rojas@gmail.com,2016-03-17,65,20797.0,9
32,Carl Martinez,+502 46 1534-4792,carl.martinez@outlook.pe,2012-12-03,63,10764.0,8
443,Cadman Torres,+502 9 8945-4288,cadman.torres@live.com,2005-02-22,22,1501.0,3
199,Cadman Huanca,+52 939-904-918,cadman.huanca@outlook.pe,2022-05-10,41,16694.0,1
426,Felipe Gutierrez,+54 915-563-275,felipe.gutierrez@gmail.com,2014-08-30,55,14045.0,4
108,Gabriela Mendoza,+55 914-368-786,gabriela.mendoza@terra.cl,2021-12-15,51,22442.0,6
715,Priscilla Fernandez,+502 12 3307-8894,priscilla.fernandez@hotmail.com,2002-05-31,45,5534.0,6
553,Carl Lopez,+54 972-676-483,carl.lopez@uol.com.br,2003-02-10,29,7676.0,10
676,Mateo Rojas,+51 48 4185-3869,mateo.rojas@live.com,2008-07-16,24,7560.0,4
159,Antonia Ramirez,+591 92 8474-6584,antonia.ramirez@live.com,2016-04-19,70,"12,500",4
476,  Nicolas Rojas  ,,nicolas.rojas@fibertel.com.ar,2013-07-10,19,9036.0,4
424,CAMILA CAMACHO,+507 904-623-359,,2018-05-20,36,21288.0,9
770,Melyssa Lopez,+51 981-456-948,melyssa.lopez@terra.cl,2000-06-30,22,17662.0,4
618,Andres Vargas,+51 916-347-982,andres.vargas@yahoo.com,2016-06-21,0,10651.0,8
484,Mateo Quispe,+598 994-992-730,mateo.quispe@prodigy.net.mx,2021-03-27,31,7008.0,1
885,Priscilla Salas,+54 11 6690-2611,priscilla.salas@uol.com.br,2004-07-08,20,7455.0,2
651,Rafael Cardenas,+55 960-739-300,rafael.cardenas@prodigy.net.mx,2010-12-26,38,3000.0,6
245,,+56 90 6797-8074,lucia.moreno@gmail.com,2012-03-24,39,10358.0,5
848,Bruno Quispe,+54 94 8500-7073,bruno.quispe@fibertel.com.ar,2019-08-25,28,19884.0,6
983,Gabriela Martinez,+55 23 6058-2092,gabriela.martinez@outlook.pe,2019-01-30,65,10259.0,9
829,Bruno Lopez,+593 60 3900-7515,bruno.lopez@hotmail.com,2020-05-27,24,9620.0,7
571,Melyssa Camacho,+52 75 1384-9021,melyssa.camacho@live.com,,75,52799.0,1
60,Bruno Quispe,+502 13 6517-3147,bruno.quispe@fibertel.com.ar,2016-11-24,27,6816.0,3
